waypoint_id,wp_publish_ns,wp_received_ns,wp_received_latency_ms,px4_response_ns,wp_to_px4_ms,total_end_to_end_ms
0,1761112281520143249,1761112281526850280,6.71,1761112281546698313,26.56,N/A
0,1761112281735957628,1761112281743285595,7.33,,,
0,1761112281735957628,1761112281743285595,7.33,1761112281769855748,33.90,N/A
0,1761112281989299425,1761112281992151756,2.85,,,
0,1761112281989299425,1761112281992151756,2.85,1761112282035624454,46.33,N/A
0,1761112282209962203,1761112282217443003,7.48,,,
0,1761112282209962203,1761112282217443003,7.48,1761112282226888301,16.93,N/A
0,1761112282475454245,1761112282477093313,1.64,,,
0,1761112282475454245,1761112282477093313,1.64,1761112282487026853,11.57,N/A
0,1761112282679554216,1761112282682636571,3.08,,,
0,1761112282679554216,1761112282682636571,3.08,1761112282711650510,32.10,N/A
0,1761112282884244588,1761112282885895050,1.65,,,
0,1761112282884244588,1761112282885895050,1.65,1761112282901282748,17.04,N/A
0,1761112283105895303,1761112283107929508,2.03,,,
0,1761112283105895303,1761112283107929508,2.03,1761112283144419619,38.52,N/A
0,1761112283327209055,1761112283335186608,7.98,,,
0,1761112283327209055,1761112283335186608,7.98,1761112283352065814,24.86,N/A
0,1761112283633698449,1761112283649447194,15.75,,,
0,1761112283633698449,1761112283649447194,15.75,1761112283664911848,31.21,N/A
0,1761112283928465465,1761112283931073857,2.61,,,
0,1761112283928465465,1761112283931073857,2.61,1761112283974988157,46.52,N/A
0,1761112284200622572,1761112284202350271,1.73,,,
0,1761112284200622572,1761112284202350271,1.73,1761112284232181217,31.56,N/A
0,1761112284443711157,1761112284448099591,4.39,,,
0,1761112284443711157,1761112284448099591,4.39,1761112284488048260,44.34,N/A
0,1761112284663781054,1761112284668049120,4.27,,,
0,1761112284663781054,1761112284668049120,4.27,1761112284710598592,46.82,N/A
0,1761112284869034309,1761112284871710364,2.68,,,
0,1761112284869034309,1761112284871710364,2.68,1761112284888546738,19.51,N/A
0,1761112285084808092,1761112285094008121,9.20,,,
0,1761112285084808092,1761112285094008121,9.20,1761112285127837412,43.03,N/A
0,1761112285289182780,1761112285307586080,18.40,,,
0,1761112285289182780,1761112285307586080,18.40,1761112285344461787,55.28,N/A
0,1761112285506027464,1761112285510592154,4.56,,,
0,1761112285506027464,1761112285510592154,4.56,1761112285549138727,43.11,N/A
0,1761112285730355891,1761112285731732734,1.38,,,
0,1761112285730355891,1761112285731732734,1.38,1761112285778133725,47.78,N/A
0,1761112285979769228,1761112285985668140,5.90,,,
0,1761112285979769228,1761112285985668140,5.90,1761112285999965144,20.20,N/A
0,1761112286228544108,1761112286230937653,2.39,,,
0,1761112286228544108,1761112286230937653,2.39,1761112286283678022,55.13,N/A
0,1761112286458867181,1761112286478701228,19.83,,,
0,1761112286458867181,1761112286478701228,19.83,1761112286502818277,43.95,N/A
0,1761112286689541703,1761112286693881383,4.34,,,
0,1761112286689541703,1761112286693881383,4.34,1761112286732592530,43.05,N/A
0,1761112286958611604,1761112286961305142,2.69,,,
0,1761112286958611604,1761112286961305142,2.69,1761112287034034019,75.42,N/A
0,1761112287227838590,1761112287229108254,1.27,,,
0,1761112287227838590,1761112287229108254,1.27,1761112287245139423,17.30,N/A
0,1761112287495675728,1761112287508427249,12.75,,,
0,1761112287495675728,1761112287508427249,12.75,1761112287511132962,15.46,N/A
0,1761112287714494770,1761112287729466077,14.97,,,
0,1761112287714494770,1761112287729466077,14.97,1761112287752928790,38.43,N/A
0,1761112287928919050,1761112287935152029,6.23,,,
0,1761112287928919050,1761112287935152029,6.23,1761112287953413773,24.49,N/A
0,1761112288171192057,1761112288184450688,13.26,,,
0,1761112288171192057,1761112288184450688,13.26,1761112288186709878,15.52,N/A
0,1761112288379693038,1761112288381303104,1.61,,,
0,1761112288553544518,1761112288555110020,1.57,,,
0,1761112288553544518,1761112288555110020,1.57,1761112288571518018,17.97,N/A
0,1761112288752607148,1761112288754182164,1.58,,,
0,1761112288752607148,1761112288754182164,1.58,1761112288826990649,74.38,N/A
0,1761112288959269607,1761112288960779947,1.51,,,
0,1761112288959269607,1761112288960779947,1.51,1761112288982845840,23.58,N/A
0,1761112289152854840,1761112289166339649,13.48,,,
0,1761112289152854840,1761112289166339649,13.48,1761112289193331531,40.48,N/A
0,1761112289342527896,1761112289344675810,2.15,,,
0,1761112289342527896,1761112289344675810,2.15,1761112289363132845,20.60,N/A
0,1761112289512337254,1761112289513757629,1.42,,,
0,1761112289512337254,1761112289513757629,1.42,1761112289558539727,46.20,N/A
0,1761112289729075150,1761112289746923512,17.85,,,
0,1761112289729075150,1761112289746923512,17.85,1761112289758695158,29.62,N/A
0,1761112289994860732,1761112289997293835,2.43,,,
0,1761112289994860732,1761112289997293835,2.43,1761112290010652630,15.79,N/A
0,1761112290264231585,1761112290268048235,3.82,,,
