Waypoint_Timestamp_ns,AI_Inference_Latency_ms
1761124436339300518,162.51
1761124436483511578,139.50
1761124436650731426,163.48
1761124436809376015,151.68
1761124436988559107,172.01
1761124437170480373,172.61
1761124437367006273,190.22
1761124437564808117,192.31
1761124437749489679,177.77
1761124437925634076,168.32
1761124438133630515,199.97
1761124438347447486,201.04
1761124438529089742,172.04
1761124438707162265,170.00
1761124438890025708,177.27
1761124439037159131,142.63
1761124439199419725,155.56
1761124439359348611,154.90
1761124439534031050,164.94
1761124439701626590,157.26
1761124439870738921,162.71
1761124440053297985,176.38
1761124440216352964,151.22
1761124440401731826,176.81
1761124440636156055,225.93
1761124440843962311,196.15
1761124441057022873,206.54
1761124441224655700,157.96
1761124441381054730,150.32
1761124441564750326,178.50
1761124441753719692,183.59
1761124441939665152,176.75
1761124442104732306,159.26
1761124442283406345,172.24
1761124442433593716,145.92
1761124442603652677,161.64
1761124442765272599,155.79
1761124442910429498,139.98
1761124443057862834,141.75
1761124443205866421,142.66
1761124443403308819,193.19
1761124443589751080,179.32
1761124443779244505,179.14
1761124443987769835,202.23
1761124444221935628,228.43
1761124444411819589,182.88
1761124444596041604,163.66
1761124444776717692,172.04
1761124444956852313,173.29
1761124445135678047,173.73
1761124445330246499,189.14
1761124445491677899,155.47
1761124445684434465,183.48
1761124445885007552,187.96
1761124446073123309,177.65
1761124446267127968,186.92
1761124446470778090,197.60
1761124446689266784,208.91
1761124446882631787,187.19
1761124447058379159,171.27
1761124447211027631,147.96
1761124447350877750,135.98
1761124447517410777,162.13
1761124447684016367,160.98
1761124447877044267,184.90
1761124448051460347,167.33
1761124448213042517,155.34
1761124448371382586,150.62
1761124448530997876,151.05
1761124448689646958,149.96
1761124448876428773,178.73
1761124449039554645,154.75
1761124449231093410,180.49
1761124449449871019,208.58
1761124449677935751,221.62
1761124449938560321,251.07
1761124450131648698,184.81
1761124450310170343,169.08
1761124450453635006,134.06
1761124450618415071,156.67
1761124450794977257,170.49
1761124450965718953,164.80
1761124451137904229,164.44
1761124451313423079,169.88
1761124451480946679,161.06
1761124451640056295,151.91
1761124451779976116,135.46
1761124451931249411,145.94
1761124452087413765,152.23
1761124452259702635,161.62
1761124452418653938,151.97
1761124452605401429,179.58
1761124452803705464,188.13
1761124452989762898,174.70
1761124453147474721,150.21
1761124453320266784,166.46
1761124453491575446,166.47
1761124453661228778,163.10
1761124453827072873,158.92
1761124454010104750,177.59
1761124454195311033,180.45
1761124454344765074,145.47
1761124454511099793,159.04
1761124454682978642,163.82
1761124454851579313,162.48
1761124455071514610,209.13
1761124455275161994,193.22
1761124455490668172,209.78
1761124455697019466,194.65
1761124455886574700,183.09
1761124456064657654,171.65
1761124456253439460,182.72
1761124456418992661,154.67
1761124456579444949,154.06
1761124456731600482,145.83
1761124456863489825,128.35
1761124457009292786,141.64
1761124457186068122,172.15
1761124457408142400,217.80
1761124457557893525,145.15
1761124457699355745,134.90
1761124457878589651,171.77
1761124458078940205,188.52
1761124458270138589,184.59
1761124458444941277,168.86
1761124458643401714,194.57
1761124458798985168,149.21
1761124458944454465,140.51
1761124459087681006,138.41
1761124459235254630,142.34
1761124459394791466,155.23
1761124459543289280,142.57
1761124459693121480,144.91
1761124459861858565,163.17
1761124460041157740,171.85
1761124460201443654,155.08
1761124460373651077,164.23
1761124460533412000,154.60
1761124460699287930,156.23
1761124460876404117,168.91
1761124461049813974,162.40
1761124461236422213,180.91
1761124461438871672,196.26
1761124461666777008,222.29
1761124461900670145,209.23
1761124462084878027,178.17
1761124462261947220,166.22
1761124462454916240,184.50
1761124462629361190,169.26
1761124462797009433,160.81
1761124462979912175,173.35
1761124463147162832,159.31
1761124463321919043,168.72
1761124463499452038,168.84
1761124463650515128,144.59
1761124463819582367,162.91
1761124464010184389,185.89
1761124464195683866,176.03
1761124464410517533,206.47
1761124464647496103,229.23
1761124464817727031,162.66
1761124464985223734,161.58
1761124465149271751,154.90
1761124465329666972,173.25
1761124465497082737,159.67
1761124465642086433,140.26
1761124465784339137,137.18
1761124465920899759,132.42
1761124466146555950,220.75
1761124466392568052,238.95
1761124466591097900,188.77
1761124466876339780,279.38
1761124467056789757,172.76
1761124467225088941,161.86
1761124467398820938,167.22
1761124467621493757,218.47
1761124467778581169,148.04
1761124467931307253,147.29
1761124468082716536,142.65
1761124468254730280,162.63
1761124468438473529,179.23
1761124468603106939,155.14
1761124468782315417,172.97
1761124468946946040,157.85
1761124469110531184,156.12
1761124469280407771,162.61
1761124469431504008,144.71
1761124469572306520,134.95
1761124469818840945,240.38
1761124470065183302,235.37
1761124470231902336,159.09
1761124470401570569,163.45
1761124470564980900,158.51
1761124470747400011,177.45
1761124470888046340,134.05
1761124471049480822,155.59
1761124471199677878,145.12
1761124471337253919,133.57
1761124471487227897,144.10
1761124471616431837,124.74
1761124471796734203,175.69
1761124471950255181,147.36
